Sample_Code,Animal,Time,Sex,Diet,Volume_raw,Volume_Norm,Stiffness,PV_flow,HA_flow,Oxygenation,Bodyweight,Vol_to_bw,Norm_Vol_to_bw,PV_velocity,PV_diameter,Rel_Bw
BCHF31_48,BCHF31,48,Female,Chow,3601.926,0.722018695,2.036,1.058090866,0.670694234,61.09972,263,13.69553612,0.763198469,,,0.946043165
BCHF31_72,BCHF31,72,Female,Chow,3170.755,0.635588956,2.330833,1.380038824,0.79985177,59.95166,275,11.53001818,0.642522654,,,0.989208633
BCHF31_168,BCHF31,168,Female,Chow,5266.856,1.055759751,1.938,1.017056096,0.57857477,59.51457,288,18.28769444,1.019101426,,,1.035971223
BCHF32_-24,BCHF32,-24,Female,Chow,5221.598,1,1.579333,1.222735645,0.832894834,58.45594,268,19.48357463,1,,,1
BCHF32_0.3,BCHF32,0.3,Female,Chow,1561.211,0.298991037,1.841333,0.795634286,0.947843693,57.95654,265,5.891362264,0.302375841,,,0.98880597
BCHF32_10,BCHF32,10,Female,Chow,2072.264,0.396863949,1.983333,1.520317392,1.314486957,55.88064,258,8.032031008,0.412246272,,,0.962686567
BCHF32_24,BCHF32,24,Female,Chow,3332.688,0.638250589,2.236667,1.257783056,0.766248146,59.98139,,#DIV/0!,#DIV/0!,,,0
BUS09_-24,BUS09,-24,Male,Ethanol,8185.812,1,1.775333,0.653047434,0.495716304,56.17745,360,22.73836667,1,75.387,1.227,1
BUS09_0.3,BUS09,0.3,Male,Ethanol,3314.535,0.404912182,1.817333,0.993447524,,53.14501,345,9.607347826,0.42251706,58.41333333,1.094,0.958333333
BUS09_10,BUS09,10,Male,Ethanol,3299.612,0.40308915,1.982667,1.64421832,,,324,10.18398765,0.447876833,53.66933333,1.465,0.9
BUS09_24,BUS09,24,Male,Ethanol,4439.896,0.542389197,2.187333,0.789705817,0.530906225,,,#DIV/0!,#DIV/0!,18.98833333,1.98,
BUS09_48,BUS09,48,Male,Ethanol,4892.97,0.597737891,2.154,1.117381831,,51.08814,,#DIV/0!,#DIV/0!,37.94666667,1.749,
BUS09_72,BUS09,72,Male,Ethanol,5219.758,0.63765916,2.011333,0.656200953,0.439159603,56.3967,,#DIV/0!,#DIV/0!,18.40066667,1.988,
BUS09_96,BUS09,96,Male,Ethanol,5575.618,0.681131939,2.007333,1.053603734,0.484307735,53.1497,,#DIV/0!,#DIV/0!,28.309,2.099,
BUS10_-24,BUS10,-24,Male,Carbohydrate,7667.284,1,1.706,0.731626663,,54.19087,343,22.35359767,1,74.075,1.268,1
BUS10_0.3,BUS10,0.3,Male,Carbohydrate,2344.767,0.305814549,2.067333,0.790962214,,51.96251,356,6.586424157,0.294647164,24.41333333,1.27,1.037900875
BUS10_10,BUS10,10,Male,Carbohydrate,3556.492,0.463852911,2.210667,1.232866076,,55.37198,338,10.52216568,0.47071464,75.55633333,1.11,0.985422741
BUS10_24,BUS10,24,Male,Carbohydrate,4367.129,0.569579658,2.097333,0.512812993,,,,#DIV/0!,#DIV/0!,34.20633333,1.179,
BUS10_48,BUS10,48,Male,Carbohydrate,6365.609,0.830229975,2.074,0.369533049,,55.09168,,#DIV/0!,#DIV/0!,23.591,1.455,
BUS10_72,BUS10,72,Male,Carbohydrate,6439.577,0.839877198,1.958667,0.553851827,0.268446661,54.20544,,#DIV/0!,#DIV/0!,46.002,1.283,
BUS10_96,BUS10,96,Male,Carbohydrate,6876.193,0.896822525,2.155333,0.507789597,0.274131008,55.24611,,#DIV/0!,#DIV/0!,51.31,1.202,
BUS11_-24,BUS11,-24,Male,Ethanol,8227.687,1,1.806,0.681373935,,53.33084,337,24.41450148,1,63.695,1.367,1
BUS11_0.3,BUS11,0.3,Male,Ethanol,3543.375,0.430664779,1.833333,0.646723066,,52.48172,337,10.51446588,0.430664779,31.84766667,1.236,1
BUS11_10,BUS11,10,Male,Ethanol,4481.24,0.54465368,2.216,1.374737852,0.710432995,54.13926,332,13.49771084,0.552856295,48.57133333,1.502,0.985163205
